slug,grind75,times_encountered,freq,cumsum,cumfreq
number-of-islands,True,815,0.025490257404685204,815,0.025490257404685204
k-closest-points-to-origin,True,518,0.016201169736965566,1333,0.04169142714165077
sum-of-total-strength-of-wizards,False,516,0.016138616958058363,1849,0.05783004409970913
meeting-rooms-ii,False,420,0.01313608357051262,2269,0.07096612767022174
two-sum,True,388,0.012135239107997372,2657,0.08310136677821912
substring-with-largest-variance,False,342,0.010696525193131705,2999,0.09379789197135083
group-anagrams,False,272,0.008507177931379601,3271,0.10230506990273043
sliding-window-maximum,False,270,0.008444625152472398,3541,0.11074969505520282
merge-k-sorted-lists,True,268,0.008382072373565195,3809,0.11913176742876802
roman-to-integer,False,267,0.008350795984111594,4076,0.1274825634128796
course-schedule,True,248,0.007756544584493166,4324,0.1352391079973728
longest-substring-without-repeating-characters,True,225,0.007037187627060332,4549,0.1422762956244331
random-pick-with-weight,False,220,0.006880805679792325,4769,0.14915710130422544
binary-tree-vertical-order-traversal,False,205,0.006411659837988303,4974,0.15556876114221374
my-calendar-i,False,188,0.005879961217277078,5162,0.16144872235949081
step-by-step-directions-from-a-binary-tree-node-to-another,False,180,0.0056297501016482655,5342,0.16707847246113908
concatenated-words,False,180,0.0056297501016482655,5522,0.17270822256278734
maximum-subarray,True,180,0.0056297501016482655,5702,0.17833797266443563
lowest-common-ancestor-of-a-binary-tree,True,177,0.005535920933287461,5879,0.18387389359772308
course-schedule-ii,False,176,0.005504644543833859,6055,0.18937853814155695
trapping-rain-water,True,175,0.005473368154380259,6230,0.1948519062959372
stock-price-fluctuation,False,175,0.005473368154380259,6405,0.20032527445031745
serialize-and-deserialize-binary-tree,True,168,0.005254433428205048,6573,0.2055797078785225
analyze-user-website-visit-pattern,False,162,0.005066775091483439,6735,0.21064648297000593
merge-intervals,True,162,0.005066775091483439,6897,0.2157132580614894
median-of-two-sorted-arrays,False,159,0.004972945923122635,7056,0.22068620398461203
find-all-possible-recipes-from-given-supplies,False,155,0.004847840365308229,7211,0.22553404434992025
reorder-data-in-log-files,False,153,0.004785287586401026,7364,0.23031933193632126
add-two-numbers,False,150,0.004691458418040221,7514,0.23501079035436148
cheapest-flights-within-k-stops,False,150,0.004691458418040221,7664,0.2397022487724017
valid-palindrome-ii,False,144,0.004503800081318613,7808,0.24420604885372033
binary-tree-right-side-view,True,144,0.004503800081318613,7952,0.24870984893503895
top-k-frequent-words,False,140,0.004378694523504207,8092,0.25308854345854315
best-time-to-buy-and-sell-stock,True,140,0.004378694523504207,8232,0.25746723798204735
find-leaves-of-binary-tree,False,138,0.004316141744597004,8370,0.26178337972664434
subarray-sum-equals-k,False,138,0.004316141744597004,8508,0.2660995214712414
integer-to-roman,False,132,0.0041284834078753945,8640,0.27022800487911675
shortest-path-in-a-grid-with-obstacles-elimination,False,126,0.003940825071153786,8766,0.27416882995027053
reorganize-string,False,126,0.003940825071153786,8892,0.2781096550214243
dot-product-of-two-sparse-vectors,False,124,0.003878272292246583,9016,0.2819879273136709
3sum,True,123,0.0038469959027929816,9139,0.28583492321646387
rotting-oranges,True,123,0.0038469959027929816,9262,0.2896819191192569
convert-sorted-list-to-binary-search-tree,False,120,0.003753166734432177,9382,0.29343508585368905
buildings-with-an-ocean-view,False,120,0.003753166734432177,9502,0.2971882525881212
connecting-cities-with-minimum-cost,False,120,0.003753166734432177,9622,0.3009414193225534
word-search-ii,False,120,0.003753166734432177,9742,0.3046945860569856
swim-in-rising-water,False,119,0.0037218903449785755,9861,0.3084164764019642
minimum-health-to-beat-game,False,117,0.003659337566071373,9978,0.3120758139680355
all-nodes-distance-k-in-binary-tree,False,116,0.0036280611766177713,10094,0.3157038751446533
plates-between-candles,False,116,0.0036280611766177713,10210,0.31933193632127105
max-area-of-island,False,115,0.00359678478716417,10325,0.32292872110843523
shortest-path-in-binary-matrix,False,114,0.0035655083977105683,10439,0.3264942295061458
evaluate-division,False,114,0.0035655083977105683,10553,0.3300597379038564
find-k-closest-elements,False,114,0.0035655083977105683,10667,0.3336252463015669
longest-consecutive-sequence,False,114,0.0035655083977105683,10781,0.3371907546992775
minimum-remove-to-make-valid-parentheses,False,112,0.003502955618803365,10893,0.3406937103180809
make-array-zero-by-subtracting-equal-amounts,False,110,0.0034404028398961626,11003,0.34413411315797704
unique-paths,True,105,0.003284020892628155,11108,0.3474181340506052
decode-string,False,105,0.003284020892628155,11213,0.35070215494323337
insert-delete-getrandom-o1,False,105,0.003284020892628155,11318,0.3539861758358615
minimum-number-of-moves-to-make-palindrome,False,104,0.0032527445031745534,11422,0.35723892033903604
longest-palindromic-substring,True,104,0.0032527445031745534,11526,0.3604916648422106
find-triangular-sum-of-an-array,False,104,0.0032527445031745534,11630,0.36374440934538516
missing-number,False,102,0.0031901917242673507,11732,0.36693460106965253
container-with-most-water,True,102,0.0031901917242673507,11834,0.37012479279391985
maximum-number-of-books-you-can-take,False,100,0.0031276389453601477,11934,0.37325243173928
binary-search-tree-iterator,False,96,0.0030025333875457415,12030,0.37625496512682577
contains-duplicate,True,96,0.0030025333875457415,12126,0.3792574985143715
coin-change,True,93,0.0029087042191849374,12219,0.38216620273355645
binary-tree-zigzag-level-order-traversal,False,93,0.0029087042191849374,12312,0.3850749069527414
validate-binary-search-tree,True,92,0.002877427829731336,12404,0.3879523347824727
range-sum-of-bst,False,92,0.002877427829731336,12496,0.39082976261220403
race-car,False,92,0.002877427829731336,12588,0.39370719044193536
integer-to-english-words,False,90,0.0028148750508241328,12678,0.39652206549275953
generate-parentheses,False,90,0.0028148750508241328,12768,0.39933694054358365
sum-of-subarray-ranges,False,90,0.0028148750508241328,12858,0.40215181559440777
evaluate-reverse-polish-notation,True,87,0.0027210458824633286,12945,0.4048728614768711
diameter-of-binary-tree,True,87,0.0027210458824633286,13032,0.40759390735933443
maximum-number-of-robots-within-budget,False,84,0.002627216714102524,13116,0.41022112407343697
merge-sorted-array,False,84,0.002627216714102524,13200,0.4128483407875395
search-suggestions-system,False,81,0.0025333875457417194,13281,0.4153817283332812
find-the-duplicate-number,False,80,0.0025021111562881183,13361,0.4178838394895693
majority-element,True,80,0.0025021111562881183,13441,0.42038595064585743
flood-fill,True,80,0.0025021111562881183,13521,0.42288806180214555
add-bold-tag-in-string,False,80,0.0025021111562881183,13601,0.4253901729584337
copy-list-with-random-pointer,False,80,0.0025021111562881183,13681,0.4278922841147218
design-tic-tac-toe,False,80,0.0025021111562881183,13761,0.4303943952710099
logger-rate-limiter,False,76,0.002377005598473712,13837,0.4327714008694836
max-consecutive-ones-iii,False,76,0.002377005598473712,13913,0.4351484064679573
making-a-large-island,False,75,0.0023457292090201106,13988,0.4374941356769774
minimum-number-of-keypresses,False,75,0.0023457292090201106,14063,0.4398398648859976
maximum-average-subtree,False,75,0.0023457292090201106,14138,0.4421855940950177
powx-n,False,74,0.002314452819566509,14212,0.44450004691458417
detonate-the-maximum-bombs,False,72,0.0022519000406593065,14284,0.4467519469552435
palindrome-linked-list,False,72,0.0022519000406593065,14356,0.4490038469959028
find-first-and-last-position-of-element-in-sorted-array,False,72,0.0022519000406593065,14428,0.45125574703656207
amount-of-new-area-painted-each-day,False,72,0.0022519000406593065,14500,0.4535076470772214
time-based-key-value-store,True,72,0.0022519000406593065,14572,0.4557595471178807
next-permutation,False,72,0.0022519000406593065,14644,0.45801144715854003
maximize-score-after-n-operations,False,70,0.0021893472617521034,14714,0.4602007944202921
flatten-binary-tree-to-linked-list,False,70,0.0021893472617521034,14784,0.46239014168204423
two-sum-iv-input-is-a-bst,False,70,0.0021893472617521034,14854,0.4645794889437963
number-of-ways-to-select-buildings,False,69,0.002158070872298502,14923,0.4667375598160948
search-a-2d-matrix,False,69,0.002158070872298502,14992,0.46889563068839335
text-justification,False,69,0.002158070872298502,15061,0.4710537015606918
prison-cells-after-n-days,False,68,0.0021267944828449003,15129,0.47318049604353674
detect-squares,False,68,0.0021267944828449003,15197,0.47530729052638165
house-robber,False,68,0.0021267944828449003,15265,0.4774340850092265
pacific-atlantic-water-flow,False,68,0.0021267944828449003,15333,0.47956087949207143
