tag,times_encountered,freq,cumsum,cumfreq
array,5305,0.16592124605135583,5305,0.16592124605135583
string,2357,0.07371844994213868,7662,0.23963969599349452
hash-table,1973,0.06170831639195571,9635,0.3013480123854502
dynamic-programming,1726,0.05398304819691615,11361,0.35533106058236635
depth-first-search,1676,0.05241922872423607,13037,0.40775028930660245
breadth-first-search,1376,0.04303631188815563,14413,0.45078660119475805
sorting,1239,0.038751446533012227,15652,0.4895380477277703
math,1227,0.03837612985956901,16879,0.5279141775873393
tree,1115,0.03487317424076564,17994,0.5627873518281049
binary-tree,1032,0.03227723391611673,19026,0.5950645857442217
two-pointers,969,0.03030682138053983,19995,0.6253714071247615
binary-search,933,0.029180871360210178,20928,0.6545522784849717
matrix,850,0.026584931035561254,21778,0.6811372095205329
stack,785,0.02455196572107716,22563,0.7056891752416101
greedy,750,0.023457292090201108,23313,0.7291464673318112
heap-priority-queue,721,0.022550276796046664,24034,0.7516967441278579
prefix-sum,611,0.019109873956150502,24645,0.7708066180840084
design,599,0.018734557282707284,25244,0.7895411753667156
graph,508,0.01588840584242955,25752,0.8054295812091452
union-find,470,0.014699903043192694,26222,0.8201294842523379
linked-list,455,0.014230757201388671,26677,0.8343602414537266
monotonic-stack,401,0.012541832170894192,27078,0.8469020736246208
divide-and-conquer,395,0.012354173834172583,27473,0.8592562474587934
recursion,339,0.0106026960247709,27812,0.8698589434835643
backtracking,338,0.010571419635317299,28150,0.8804303631188816
sliding-window,319,0.009977168235698872,28469,0.8904075313545804
bit-manipulation,278,0.00869483626810121,28747,0.8991023676226816
counting,251,0.007850373752853971,28998,0.9069527413755356
simulation,238,0.007443780689957151,29236,0.9143965220654927
binary-search-tree,216,0.006755700121977919,29452,0.9211522221874707
trie,204,0.0063803834485347015,29656,0.9275326056360054
ordered-set,202,0.006317830669627498,29858,0.9338504363056329
topological-sort,176,0.005504644543833859,30034,0.9393550808494667
queue,159,0.004972945923122635,30193,0.9443280267725894
segment-tree,145,0.0045350764707722145,30338,0.9488631032433615
database,142,0.00444124730241141,30480,0.953304350545773
geometry,125,0.003909548681700185,30605,0.9572138992274731
merge-sort,97,0.003033809776999343,30702,0.9602477090044725
interactive,96,0.0030025333875457415,30798,0.9632502423920183
data-stream,94,0.002939980608638539,30892,0.9661902230006568
randomized,93,0.0029087042191849374,30985,0.9690989272198417
quickselect,85,0.0026584931035561255,31070,0.9717574203233978
shortest-path,84,0.002627216714102524,31154,0.9743846370375004
combinatorics,76,0.002377005598473712,31230,0.9767616426359741
binary-indexed-tree,74,0.002314452819566509,31304,0.9790760954555406
monotonic-queue,67,0.002095518093391299,31371,0.9811716135489319
memoization,65,0.0020329653144840957,31436,0.9832045788634161
bitmask,65,0.0020329653144840957,31501,0.9852375441779001
iterator,50,0.0015638194726800738,31551,0.9868013636505801
hash-function,50,0.0015638194726800738,31601,0.9883651831232603
string-matching,49,0.0015325430832264723,31650,0.9898977262064867
minimum-spanning-tree,36,0.0011259500203296532,31686,0.9910236762268164
bucket-sort,35,0.0010946736308760517,31721,0.9921183498576924
enumeration,34,0.0010633972414224502,31755,0.9931817470991149
game-theory,33,0.0010321208519688486,31788,0.9942138679510837
doubly-linked-list,26,0.0008131861257936383,31814,0.9950270540768774
counting-sort,25,0.0007819097363400369,31839,0.9958089638132174
rolling-hash,18,0.0005629750101648266,31857,0.9963719388233823
eulerian-circuit,18,0.0005629750101648266,31875,0.996934913833547
number-theory,18,0.0005629750101648266,31893,0.9974978888437119
line-sweep,13,0.00040659306289681917,31906,0.9979044819066087
shell,12,0.0003753166734432177,31918,0.9982797985800519
suffix-array,12,0.0003753166734432177,31930,0.9986551152534952
brainteaser,11,0.0003440402839896162,31941,0.9989991555374848
probability-and-statistics,7,0.00021893472617521032,31948,0.9992180902636599
radix-sort,6,0.00018765833672160885,31954,0.9994057486003816
concurrency,6,0.00018765833672160885,31960,0.9995934069371032
biconnected-component,6,0.00018765833672160885,31966,0.9997810652738248
strongly-connected-component,4,0.00012510555781440592,31970,0.9999061708316392
reservoir-sampling,3,9.382916836080442e-05,31973,1.0
