slug,times_encountered
number-of-islands,1450
two-sum,896
meeting-rooms-ii,816
insert-delete-getrandom-o1,660
longest-substring-without-repeating-characters,657
roman-to-integer,630
k-closest-points-to-origin,581
group-anagrams,568
sum-of-total-strength-of-wizards,516
merge-intervals,424
maximum-subarray,417
sliding-window-maximum,415
top-k-frequent-words,413
median-of-two-sorted-arrays,411
merge-k-sorted-lists,404
add-two-numbers,393
decode-string,387
course-schedule,368
word-search-ii,365
best-time-to-buy-and-sell-stock,360
trapping-rain-water,355
evaluate-division,354
3sum,351
substring-with-largest-variance,342
course-schedule-ii,320
serialize-and-deserialize-binary-tree,318
first-unique-character-in-a-string,284
binary-tree-vertical-order-traversal,280
validate-binary-search-tree,276
subdomain-visit-count,276
random-pick-with-weight,272
generate-parentheses,264
lowest-common-ancestor-of-a-binary-tree,264
coin-change,258
subarray-sum-equals-k,255
contains-duplicate,252
top-k-frequent-elements,248
max-area-of-island,245
longest-palindromic-substring,240
design-browser-history,240
rotate-image,237
number-of-provinces,236
my-calendar-i,232
analyze-user-website-visit-pattern,219
text-justification,219
pairs-of-songs-with-total-durations-divisible-by-60,213
rotting-oranges,213
longest-string-chain,210
flatten-nested-list-iterator,210
binary-tree-maximum-path-sum,204
binary-tree-right-side-view,200
step-by-step-directions-from-a-binary-tree-node-to-another,196
unique-paths,195
container-with-most-water,195
reorganize-string,192
find-k-closest-elements,192
find-median-from-data-stream,190
integer-to-roman,186
missing-number,186
stock-price-fluctuation,185
palindrome-linked-list,180
find-all-possible-recipes-from-given-supplies,180
concatenated-words,180
merge-sorted-array,177
longest-consecutive-sequence,177
binary-tree-zigzag-level-order-traversal,177
longest-increasing-path-in-a-matrix,176
all-nodes-distance-k-in-binary-tree,176
cheapest-flights-within-k-stops,174
shortest-path-in-a-grid-with-obstacles-elimination,174
valid-palindrome-ii,168
design-underground-system,165
find-leaves-of-binary-tree,165
binary-search-tree-iterator,162
house-robber,162
integer-to-english-words,162
swim-in-rising-water,161
reorder-data-in-log-files,159
word-search,159
search-in-rotated-sorted-array,158
majority-element,155
lfu-cache,152
max-stack,150
dot-product-of-two-sparse-vectors,148
next-permutation,148
find-the-duplicate-number,144
find-first-and-last-position-of-element-in-sorted-array,142
time-based-key-value-store,140
convert-sorted-list-to-binary-search-tree,140
connecting-cities-with-minimum-cost,136
search-a-2d-matrix,135
construct-binary-tree-from-preorder-and-inorder-traversal,135
sort-colors,132
flood-fill,132
minimum-remove-to-make-valid-parentheses,130
basic-calculator-iii,128
lru-cache,128
powx-n,128
buildings-with-an-ocean-view,126
shortest-path-in-binary-matrix,126
making-a-large-island,125
design-an-ordered-stream,124
max-points-on-a-line,124
maximum-profit-in-job-scheduling,124
all-paths-from-source-to-target,124
sort-an-array,120
letter-combinations-of-a-phone-number,120
minimum-number-of-moves-to-make-palindrome,120
longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,120
minimum-health-to-beat-game,117
plates-between-candles,116
populating-next-right-pointers-in-each-node-ii,115
shortest-word-distance-ii,115
copy-list-with-random-pointer,114
3sum-closest,114
