tag,times_encountered,freq,cumsum,cumfreq
array,11074,0.1687440953280712,11074,0.1687440953280712
string,5247,0.07995306738183038,16321,0.24869716270990155
hash-table,4597,0.07004845640447384,20918,0.3187456191143754
dynamic-programming,3503,0.053378234236430684,24421,0.37212385335080606
depth-first-search,3000,0.04571358912626093,27421,0.417837442477067
math,2718,0.04141651174839241,30139,0.45925395422545945
sorting,2631,0.040090817663730835,32770,0.49934477188919024
breadth-first-search,2529,0.03853655563343797,35299,0.5378813275226282
two-pointers,2171,0.033081400664370826,37470,0.570962728186999
tree,1874,0.028555755340870997,39344,0.5995184835278701
binary-search,1820,0.0277329107365983,41164,0.6272513942644683
matrix,1816,0.02767195928442995,42980,0.6549233535488983
binary-tree,1707,0.02601103221284247,44687,0.6809343857617408
stack,1611,0.02454819736080212,46298,0.7054825831225429
greedy,1557,0.023725352756529424,47855,0.7292079358790723
design,1384,0.021089202450248378,49239,0.7502971383293207
heap-priority-queue,1272,0.019382561789534635,50511,0.7696797001188553
linked-list,1168,0.01779782403315759,51679,0.7874775241520129
backtracking,919,0.014003596135677933,52598,0.8014811202876908
prefix-sum,915,0.013942644683509585,53513,0.8154237649712004
graph,906,0.013805503916130802,54419,0.8292292688873313
union-find,865,0.013180751531405235,55284,0.8424100204187365
recursion,834,0.01270837777710054,56118,0.855118398195837
divide-and-conquer,798,0.012159814707585408,56916,0.8672782129034224
sliding-window,767,0.011687440953280712,57683,0.8789656538567031
counting,685,0.01043793618382958,58368,0.8894035900405327
bit-manipulation,675,0.01028555755340871,59043,0.8996891475939415
monotonic-stack,584,0.008898912016578796,59627,0.9085880596105202
simulation,549,0.008365586810105751,60176,0.9169536464206259
trie,436,0.006643708286349922,60612,0.9235973547069759
queue,426,0.006491329655929053,61038,0.9300886843629049
binary-search-tree,410,0.006247523847255661,61448,0.9363362082101606
ordered-set,325,0.004952305488678268,61773,0.9412885136988389
topological-sort,297,0.004525645323499832,62070,0.9458141590223387
randomized,247,0.0037637521713954833,62317,0.9495779111937341
database,232,0.003535184225764179,62549,0.9531130954194984
data-stream,225,0.00342851918446957,62774,0.9565416146039679
memoization,215,0.0032761405540487,62989,0.9598177551580166
segment-tree,197,0.0030018590192911346,63186,0.9628196141773078
geometry,189,0.0028799561149544387,63375,0.9656995702922622
doubly-linked-list,187,0.0028494803888702647,63562,0.9685490506811325
interactive,184,0.0028037667997440037,63746,0.9713528174808764
merge-sort,164,0.0024990095389022643,63910,0.9738518270197788
quickselect,145,0.002209490141102612,64055,0.9760613171608814
bitmask,135,0.002057111510681742,64190,0.9781184286715631
shortest-path,130,0.001980922195471307,64320,0.9800993508670344
monotonic-queue,129,0.00196568433242922,64449,0.9820650351994636
bucket-sort,126,0.0019199707433029591,64575,0.9839850059427666
binary-indexed-tree,111,0.0016914027976716545,64686,0.9856764087404383
combinatorics,110,0.0016761649346295675,64796,0.9873525736750678
hash-function,106,0.0016152134824612197,64902,0.988967787157529
enumeration,101,0.0015390241672507848,65003,0.9905068113247798
iterator,91,0.0013866455368299149,65094,0.9918934568616097
string-matching,85,0.0012952183585773931,65179,0.9931886752201872
game-theory,58,0.0008837960564410447,65237,0.9940724712766281
counting-sort,49,0.0007466552890622619,65286,0.9948191265656904
concurrency,43,0.0006552281108097401,65329,0.9954743546765001
rolling-hash,40,0.0006095145216834791,65369,0.9960838691981836
minimum-spanning-tree,40,0.0006095145216834791,65409,0.9966933837198672
number-theory,32,0.0004876116173467833,65441,0.9971809953372139
line-sweep,26,0.00039618443909426144,65467,0.9975771797763082
eulerian-circuit,25,0.00038094657605217445,65492,0.9979581263523604
brainteaser,24,0.00036570871301008746,65516,0.9983238350653705
radix-sort,24,0.00036570871301008746,65540,0.9986895437783805
shell,19,0.00028951939779965256,65559,0.9989790631761801
suffix-array,19,0.00028951939779965256,65578,0.9992685825739799
probability-and-statistics,18,0.0002742815347575656,65596,0.9995428641087374
biconnected-component,12,0.00018285435650504373,65608,0.9997257184652424
rejection-sampling,9,0.0001371407673787828,65617,0.9998628592326212
reservoir-sampling,5,7.618931521043489e-05,65622,0.9999390485478317
strongly-connected-component,4,6.095145216834791e-05,65626,1.0
